Export mixte par bloc (séparations-données-durées);;;;;
Du 27/02/2025 06:00 au 28/02/2025 06:00;;;;;
Type machine : MTI PF_SOLYSTIC TAE;;;;;
;;;;;
;;;;;
N°bloc;;;;;
66441740634196;B32;1624;00_LENDEMAIN_-2;A RETRIER;INDETERMINE
66441740634196;B33;963;00_LENDEMAIN_-3;A RETRIER;INDETERMINE
66441740634196;B34;0;59_LILLE PIC_260;TRI DEFINITIF;INDETERMINE
66441740634196;B35;49;59_LILLE PIC_360 LDMAIN;TRI DEFINITIF;INDETERMINE
66441740634196;B36;0;59_LILLE PIC_261;TRI DEFINITIF;INDETERMINE
66441740634196;B37;15;33_BORDEAUX PIC_261;TRI DEFINITIF;INDETERMINE
66441740634196;B38;4;33_BORDEAUX PIC_260;TRI DEFINITIF;INDETERMINE
66441740634196;B39;1;33_BORDEAUX PIC_LOT 360 LDMAIN;TRI DEFINITIF;INDETERMINE
66441740634196;B40;0;33_BORDEAUX PIC_LOT 361 LDMAIN;TRI DEFINITIF;INDETERMINE
66441740634196;B41;14;86_POITIERS PIC_260;TRI DEFINITIF;INDETERMINE
66441740634196;B42;3;13_VITROLLES PIC_260;TRI DEFINITIF;INDETERMINE
66441740634196;B43;1413;00_LENDEMAIN_-4;A RETRIER;INDETERMINE
66441740634196;B44;1511;00_LENDEMAIN_-5;A RETRIER;INDETERMINE
66441740634196;B45;2051;00_LENDEMAIN_-6;A RETRIER;INDETERMINE
66441740634196;B46;23;37_VAL DE LOIRE PIC_260;TRI DEFINITIF;INDETERMINE
66441740634196;B47;0;INDETERMINE;A RECYCLER;INDETERMINE
66441740634196;B48;5;38_ISERE PIC_260;TRI DEFINITIF;INDETERMINE
66441740634196;B49;0;INDETERMINE;A RECYCLER;INDETERMINE
66441740634196;B50;402;00_REPRISE VERS 618_PF GENERIQUE;A RETRIER;INDETERMINE
66441740634196;B51;0;INDETERMINE;A RECYCLER;INDETERMINE
66441740634196;B52;32;69_ST PRIEST PIC_260;TRI DEFINITIF;INDETERMINE
66441740634196;B53;0;69_ST PRIEST PIC_LOT 361;TRI DEFINITIF;INDETERMINE
66441740634196;B54;0;INDETERMINE;A RECYCLER;INDETERMINE
66441740634196;B55;10;45_LOIRET PIC_240;TRI DEFINITIF;INDETERMINE
66441740634196;B56;42;REPRISE VERS 1-15903;A RETRIER;INDETERMINE
66441740634196;B57;0;INDETERMINE;A RECYCLER;INDETERMINE
66441740634196;B58;5;34_LANGUEDOC PIC_260;TRI DEFINITIF;INDETERMINE
66441740634196;B59;3;60_ROYE PIC_260;TRI DEFINITIF;INDETERMINE
66441740634196;B60;9;31_MIDI-PYRENEES PIC_260;TRI DEFINITIF;INDETERMINE
66441740634196;B61;4;51_MEUSE CHAMP. ARD PIC_260;TRI DEFINITIF;INDETERMINE
66441740634196;B62;0;76_ROUEN PIC_260;TRI DEFINITIF;INDETERMINE
66441740634196;B63;168;76_ROUEN PIC_360;TRI DEFINITIF;INDETERMINE
66441740634196;B64;9;INDETERMINE;A RECYCLER;INDETERMINE
66441740634196;C01;480;TPD-_MOUZILLON 2;A RETRIER;INDETERMINE
66441740634196;C02;405;TPD-_NOIRMOUTIER;A RETRIER;INDETERMINE
66441740634196;C03;671;TPD-_MACHECOUL;A RETRIER;INDETERMINE
66441740634196;C04;302;TPD-_ST JEAN DE MONTS 1;A RETRIER;INDETERMINE
66441740634196;C05;262;TPD-_ST JEAN DE MONTS 2;A RETRIER;INDETERMINE
66441740634196;C06;333;REPRISE VERS 1-15703;A RETRIER;INDETERMINE
66441740634196;C07;624;TPD-_LE PELLERIN;A RETRIER;INDETERMINE
66441740634196;C08;510;TPD-_LA CHAPELLE TAT 2;A RETRIER;INDETERMINE
66441740634196;C09;739;TPD-_ST ETIENNE;A RETRIER;INDETERMINE
66441740634196;C10;689;TPD-_ST GILLES 1;A RETRIER;INDETERMINE
66441740634196;C11;299;TPD-_ESSARTS 1;A RETRIER;INDETERMINE
66441740634196;C12;542;TPD-_ESSARTS 2;A RETRIER;INDETERMINE
66441740634196;C13;1222;TPD-_AIGUILLON;A RETRIER;INDETERMINE
66441740634196;C14;464;TPD-_NANTES SUD 3 LA HAIE;A RETRIER;INDETERMINE
66441740634196;C15;346;TPD-_PONTCHATEAU 2;A RETRIER;INDETERMINE
66441740634196;C16;419;TPD-_PORNIC 2;A RETRIER;INDETERMINE
66441740634196;C17;672;TPD-_ST HILAIRE LOUL 2;A RETRIER;INDETERMINE
66441740634196;C18;603;TPD-_PORNIC 3;A RETRIER;INDETERMINE
66441740634196;C19;693;TPD-_ST PHILBERT;A RETRIER;INDETERMINE
66441740634196;C20;510;TPD-_ST BREVIN 2;A RETRIER;INDETERMINE
66441740634196;C21;537;TPD-_ST BREVIN 3;A RETRIER;INDETERMINE
66441740634196;C22;381;TPD-_LUCON 1;A RETRIER;INDETERMINE
66441740634196;C23;563;TPD-_LUCON 2;A RETRIER;INDETERMINE
66441740634196;C24;414;TPD-_LUCON 3;A RETRIER;INDETERMINE
66441740634196;C25;0;INDETERMINE;A RECYCLER;INDETERMINE
66441740634196;C26;206;TPD-_ILE D YEU;A RETRIER;INDETERMINE
66441740634196;C27;540;TPD-_MOUILLERON;A RETRIER;INDETERMINE
66441740634196;C28;0;INDETERMINE;A RECYCLER;INDETERMINE
66441740634196;C29;601;TPD-_ST NAZAIRE UD TAT 1;A RETRIER;INDETERMINE
66441740634196;C30;667;TPD-_MOUTIERS 1;A RETRIER;INDETERMINE
66441740634196;C31;690;TPD-_MOUTIERS 2;A RETRIER;INDETERMINE
66441740634196;C32;426;TPD-_AIZENAY 1;A RETRIER;INDETERMINE
66441740634196;C33;436;TPD-_AIZENAY 2;A RETRIER;INDETERMINE
66441740634196;C34;555;TPD-_AIZENAY 3;A RETRIER;INDETERMINE
66441740634196;C35;257;TPD-_LA BAULE 3;A RETRIER;INDETERMINE
66441740634196;C36;599;TPD-_GUERANDE 2;A RETRIER;INDETERMINE
66441740634196;C37;394;TPD-_GUERANDE 3;A RETRIER;INDETERMINE
66441740634196;C38;643;TPD-_ST NAZAIRE UD TAT 2;A RETRIER;INDETERMINE
66441740634196;C39;329;TPD-_LA BAULE 2;A RETRIER;INDETERMINE
66441740634196;C40;356;TPD-_LES HERBIERS 2;A RETRIER;INDETERMINE
66441740634196;C41;493;TPD-_RIAILLE;A RETRIER;INDETERMINE
66441740634196;C42;276;TPD-_DERVAL;A RETRIER;INDETERMINE
66441740634196;C43;264;TPD-_LEGE;A RETRIER;INDETERMINE
66441740634196;C44;382;TPD-_GUEMENE;A RETRIER;INDETERMINE
66441740634196;C45;352;TPD-_LA GAUBRETIERE;A RETRIER;INDETERMINE
66441740634196;C46;379;TPD-_BOUAYE 1;A RETRIER;INDETERMINE
66441740634196;C47;322;TPD-_BOUAYE 2;A RETRIER;INDETERMINE
66441740634196;C48;654;TPD-_CHANTONNAY 1;A RETRIER;INDETERMINE
66441740634196;C49;326;TPD-_CHANTONNAY 2;A RETRIER;INDETERMINE
66441740634196;C50;1032;TPD-_SAUTRON;A RETRIER;INDETERMINE
66441740634196;C51;465;TPD-_STE HERMINE TAT 1;A RETRIER;INDETERMINE
66441740634196;C52;1077;TPD-_VERTOU TAT 2;A RETRIER;INDETERMINE
66441740634196;C53;513;TPD-_CHATAIGNERAIE TAT 1;A RETRIER;INDETERMINE
66441740634196;C54;524;TPD-_ST FLORENT BOIS TAT ;A RETRIER;INDETERMINE
66441740634196;C55;445;TPD-_MORTAGNE TAT 1;A RETRIER;INDETERMINE
66441740634196;C56;0;INDETERMINE;A RECYCLER;INDETERMINE
66441740634196;C57;1182;TPD-_BEAULIEU TAT 1;A RETRIER;INDETERMINE
66441740634196;C58;401;TPD-_BEAULIEU TAT 2;A RETRIER;INDETERMINE
66441740634196;C59;303;TPD-_ST NICOLAS R TAT 1;A RETRIER;INDETERMINE
66441740634196;C60;255;TPD-_ST MARS TAT 1;A RETRIER;INDETERMINE
66441740634196;C61;448;TPD-_ST NAZAIRE TAT 3;A RETRIER;INDETERMINE
66441740634196;C62;1277;TPD-_NOZAY TAT 1;A RETRIER;INDETERMINE
66441740634196;C63;5;44_A_ALLIAGE AFLSH PF RFX-TAE 18;REJETS MANUELS;INDETERMINE
66441740634196;C64;1251;INDETERMINE;A RECYCLER;INDETERMINE
66441740634196;D01;1019;TPD-_FONTENAY 1;A RETRIER;INDETERMINE
66441740634196;D02;884;TPD-_FONTENAY 2;A RETRIER;INDETERMINE
66441740634196;D03;745;TPD-_MOUZILLON 1;A RETRIER;INDETERMINE
66441740634196;D04;1361;TPD-_TALMONT;A RETRIER;INDETERMINE
66441740634196;D05;846;TPD-_LA CHAPELLE TAT 1;A RETRIER;INDETERMINE
66441740634196;D06;987;TPD-_BLAIN;A RETRIER;INDETERMINE
66441740634196;D07;1148;TPD-_ST JULIEN CONCELLES;A RETRIER;INDETERMINE
66441740634196;D08;131;00_REPRISE VERS _REPRISE VERS 51001;A RETRIER;INDETERMINE
66441740634196;D09;2107;TPD-_COUERON;A RETRIER;INDETERMINE
66441740634196;D10;1033;TPD-_ST GILLES 2;A RETRIER;INDETERMINE
66441740634196;D11;712;TPD-_ST GILLES 3;A RETRIER;INDETERMINE
66441740634196;D12;814;TPD-_PONTCHATEAU 1;A RETRIER;INDETERMINE
66441740634196;D13;745;TPD-_MONTBERT;A RETRIER;INDETERMINE
66441740634196;D14;867;TPD-_PORNIC 1;A RETRIER;INDETERMINE
66441740634196;D15;3414;REPRISE VERS 1-78501;A RETRIER;INDETERMINE
66441740634196;D16;1243;TPD-_ST HILAIRE LOUL 1;A RETRIER;INDETERMINE
66441740634196;D17;1185;TPD-_ST HILAIRE LOUL 3;A RETRIER;INDETERMINE
66441740634196;D18;2;28410_BOIS D ARCY PIC_RDSL DIRCT;TRI DEFINITIF;INDETERMINE
